city_name,id_num,city_from,city_longitude,city_latitude,CityPopulation,connected_component,an,clusters
בית שקמה,189,747.0,34.60737,31.63921,818.0,0,0,5
ביתן אהרן,190,252.0,34.87061,32.36459,243.0,0,0,1
ביתר עילית,191,3780.0,35.11415,31.701,61297.0,0,0,5
בלפוריה,192,94.0,35.29598,32.62921,586.0,0,0,8
בן זכאי,193,760.0,34.72749,31.854709999999997,898.0,0,0,8
בן עמי,194,712.0,35.12408,33.00468,755.0,0,0,1
בן שמן (כפר נוער),195,1084.0,34.92719,31.95983,217.0,0,0,5
בן שמן (מושב),196,2013.0,34.92288,31.95188,794.0,0,0,8
בני ברק,197,6100.0,34.83591,32.09018,208031.0,0,0,5
בני דקלים,198,1368.0,34.917559999999995,31.517090000000003,1500.0,0,0,3
בני דרום,199,592.0,34.69187,31.81895,883.0,0,0,5
בני דרור,200,386.0,34.89847,32.26186,1186.0,0,0,5
בני יהודה,201,4015.0,35.68914,32.79882,1199.0,0,0,8
בני נצרים,202,1363.0,34.3139,31.13887,808.0,0,0,1
בני עטרות,203,448.0,34.91366,32.02364,836.0,0,0,5
"בני עי""ש",204,1066.0,34.76119,31.79135,6902.0,0,0,3
בני ציון,205,418.0,34.87061,32.220040000000004,1086.0,0,0,5
בני ראם,206,588.0,34.78989,31.77133,1335.0,0,0,8
בניה,207,685.0,34.74995,31.84415,852.0,0,0,5
בנימינה-גבעת עדה,208,9800.0,34.96732,32.51838,15971.0,0,0,3
"בסמ""ה",209,1326.0,35.1096,32.52848,10252.0,0,0,2
בסמת טבעון,210,944.0,35.13712,32.734359999999995,8001.0,0,0,5
בענה,211,483.0,35.28132,32.9293,8421.0,0,0,5
בצרה,212,389.0,34.87795,32.21402,1024.0,0,0,5
בצת,213,589.0,35.134409999999995,33.07096,395.0,0,0,1
בקוע,214,864.0,34.92579,31.82825,749.0,0,0,3
בר גיורא,215,823.0,35.07223,31.72982,612.0,0,0,0
בר יוחאי,216,1191.0,35.448409999999996,32.99771,1169.0,0,0,1
ברוכין,217,3744.0,35.0927,32.08101,1410.0,0,0,5
ברור חיל,218,428.0,34.64549,31.55759,887.0,0,0,5
ברוש,219,2060.0,34.63243,31.367409999999996,544.0,0,0,5
ברטעה,220,3098.0,35.20427,31.89804,1.0,0,0,1
ברכה,221,3710.0,35.26553,32.19251,2888.0,0,0,2
ברכיה,222,746.0,34.62489,31.67059,1203.0,0,0,5
ברקאי,223,617.0,35.0286,32.474920000000004,578.0,0,0,5
ברקן,224,3654.0,35.108979999999995,32.10583,1893.0,0,0,5
ברקת,225,2038.0,34.94481,32.01533,2105.0,0,0,8
בת הדר,226,1323.0,34.59667,31.647370000000002,679.0,0,0,8
בת חן,227,1361.0,34.8719,32.36027,498.0,0,0,5
בת חפר,228,1319.0,35.01368,32.333690000000004,5278.0,0,0,3
בת ים,229,6200.0,34.74922,32.01396,127772.0,0,0,5
בת עין,230,3794.0,35.10048,31.658509999999996,1649.0,0,0,3
בת שלמה,231,33.0,35.00353,32.60032,637.0,0,0,1
ג'דיידה-מכר,232,1292.0,35.14243,32.93274,21331.0,0,0,3
ג'ולס,233,485.0,35.18081,32.94042,6545.0,0,0,1
ג'לג'וליה,234,627.0,34.95726,32.147459999999995,10295.0,0,0,8
ג'נאביב (שבט),235,976.0,34.923,30.986,1363.0,14,1,1
ג'סר א-זרקא,236,541.0,34.90978,32.53692,15113.0,0,0,3
ג'ש (גוש חלב),237,487.0,35.4351,33.02262,3120.0,0,0,8
ג'ת,238,628.0,35.0281,32.40278,12252.0,0,0,8
גאולי תימן,239,872.0,34.90175,32.39235,363.0,0,0,1
גאולים,240,379.0,34.93752,32.30036,924.0,0,0,0
גאליה,241,853.0,34.76464,31.88578,1029.0,0,0,5
גבולות,242,352.0,34.46569,31.210720000000002,353.0,0,0,1
גבים,243,424.0,34.59632,31.507579999999997,581.0,0,0,8
גבע,244,86.0,35.37322,32.56655,610.0,0,0,8
גבע בנימין,245,3763.0,35.27344,31.849459999999997,5757.0,0,0,3
גבע כרמל,246,683.0,34.95479,32.66245,1021.0,0,0,5
גבעולים,247,2014.0,34.5903,31.39698,461.0,0,0,0
גבעון החדשה,248,3644.0,35.15838,31.84811,1141.0,0,0,3
גבעות בר,249,1344.0,34.75535,31.35753,1171.0,0,0,5
גבעת אבני,250,1293.0,35.4383,32.77564,2080.0,0,0,3
גבעת אלה,251,1288.0,35.24402,32.72193,1976.0,0,0,8
גבעת ברנר,252,147.0,34.80236,31.86471,2665.0,0,0,5
גבעת השלושה,253,870.0,34.92116,32.09779,651.0,0,0,3
גבעת זאב,254,3730.0,35.16408,31.86083,19205.0,0,0,3
"גבעת ח""ן",255,207.0,34.87599,32.16856,384.0,0,0,8
גבעת חיים (איחוד),256,2018.0,34.93298,32.399370000000005,1242.0,0,0,5
גבעת חיים (מאוחד),257,173.0,34.93045,32.39206,1046.0,0,0,5
גבעת יואב,258,4021.0,35.681459999999994,32.798759999999994,699.0,0,0,8
גבעת יערים,259,787.0,35.09263,31.786659999999998,1220.0,0,0,5
גבעת ישעיהו,260,919.0,34.94704,31.670740000000002,701.0,0,0,8
"גבעת כ""ח",261,802.0,34.93524,32.02982,885.0,0,0,1
"גבעת ניל""י",262,360.0,35.041129999999995,32.547709999999995,598.0,0,0,8
גבעת עוז,263,703.0,35.19859,32.555479999999996,402.0,0,0,1
גבעת שמואל,264,681.0,34.85175,32.07705,27236.0,0,0,3
גבעת שפירא,265,1077.0,34.87573,32.3573,279.0,0,0,5
גבעתי,266,793.0,34.68012,31.73152,951.0,0,0,5
גבעתיים,267,6300.0,34.810359999999996,32.07035,60872.0,0,0,3
גברעם,268,342.0,34.61273,31.59207,605.0,0,0,5
גבת,269,133.0,35.21297,32.67216,922.0,0,0,3
גדות,270,35.0,35.619279999999996,33.0189,416.0,15,1,1
גדיש,271,145.0,35.24501,32.55899,359.0,0,0,5
גדעונה,272,442.0,35.35882,32.54907,462.0,0,0,5
גדרה,273,2550.0,34.77734,31.814940000000004,28805.0,0,0,3
גונן,274,852.0,35.646029999999996,33.12457,417.0,0,0,0
גורנות הגליל,275,1219.0,35.249629999999996,33.0597,218.0,0,0,1
גזית,276,457.0,35.44721,32.63766,764.0,0,0,8
גזר,277,370.0,34.92057,31.876209999999997,316.0,16,1,1
גיאה,278,706.0,34.60407,31.627470000000002,776.0,0,0,5
גיזו,279,1043.0,34.93853,31.80483,199.0,0,0,1
גילון,280,1204.0,35.23662,32.90363,1171.0,0,0,5
גילת,281,736.0,34.651790000000005,31.32746,1467.0,0,0,3
גינוסר,282,262.0,35.52406,32.84975,626.0,0,0,8
גיניגר,283,92.0,35.259240000000005,32.66368,671.0,0,0,5
גינתון,284,863.0,34.91407,31.962770000000003,902.0,0,0,8
גלאון,285,393.0,34.848259999999996,31.63407,609.0,0,0,5
גלגל,286,3606.0,35.448479999999996,31.99948,179.0,0,0,8
גליל ים,287,346.0,34.8314,32.157340000000005,481.0,0,0,8
גלעד (אבן יצחק),288,369.0,35.07646,32.55677,499.0,0,0,8
גמזו,289,745.0,34.93987,31.92775,1098.0,0,0,5
גן הדרום,290,1072.0,34.69998,31.80483,515.0,0,0,7
גן השומרון,291,225.0,34.99852,32.46198,798.0,0,0,5
גן חיים,292,239.0,34.90527,32.19497,657.0,0,0,5
